Name;Type;Units or mass;Status;Launched;NORAD ID;Deployer;Launcher;Organisation;Institution;Entity;Nation;Launch brokerer;Oneliner
ExseedSat-1 (Exseed Sat-1, Vusat-OSCAR-96 );CubeSat;3U;Operational? (Social media news from 2018-12-04 and last SatNOGS report from 2019-05-22, but no telemetry and ID has not been determined for some reason!? Checked on 2019-05-26);2018-12-03;43775?;QuadPack (XL) [ISISpace],?;Falcon 9 (Spaceflight SSO-A, SHERPA);Exseed Space;Company;Commercial;India;Spaceflight;Demonstrate CubeSat platform and amateur radio communications.
JY1-SAT (JY1SAT);CubeSat;1U;Operational (Last JA6PL report 2019-05-25 checked on 2019-05-26);2018-12-03;43803;QuadPack (XL) [ISISpace];Falcon 9 (Spaceflight SSO-A, SHERPA);Crown Prince Foundation;University;Academic / Education;Jordan;ISILaunch;SSTV transmitter for radio amateurs and educational training.
KazSciSat-1;CubeSat;3U;No signal? (Unable to find contact reports);2018-12-03;43787;QuadPack (XL) [ISISpace],?;Falcon 9 (Spaceflight SSO-A, SHERPA);Ghalam LLP;Company;Commercial;Kazakhstan;Spaceflight;"\-
                    "
KNACKSAT (KMUTNB Academic Challenge of Knowledge SATellite);CubeSat;1U;Was semi-operational until 2018-12-07. (Maybe weak packet visually seen on 2019-02-22. Official Twitter. Checked on 2019-05-26);2018-12-03;43806?;QuadPack (XL) [ISISpace],?;Falcon 9 (Spaceflight SSO-A, SHERPA);King Mongkut University of Technology;University;Academic / Education;Thailand;Spaceflight;Demonstrate CubeSat platform technologies plus camera to take photos of Earth.
Orbital Reflector (ORS-1);CubeSat;3U;Was operational until 2019-01-23 (Official press release says it fell silent during government shutdown while waiting for permission to deploy balloon);2018-12-03;43771?;QuadPack (XL) [ISISpace],?;Falcon 9 (Spaceflight SSO-A, SHERPA);Nevada Museum of Art;Non-profit;Government (Civil / Military);US;Spaceflight;"Deploy large reflective sculpture.
                    "
Snuglite (SNULITE);CubeSat;2U;Operational (Last DK3WN report 201--03-10 and SatNOGS reports);2018-12-03;43784;QuadPack (XL) [ISISpace];Falcon 9 (Spaceflight SSO-A, SHERPA);Seoul National University;University;Academic / Education;South Korea;ISILaunch;Amateur radio communication and demonstrate in-house GPS receiver.
SNUSat-2;CubeSat;3U;Operational (Last SatNOGS report 2019-05-02);2018-12-03;43782;QuadPack (XL) [ISISpace];Falcon 9 (Spaceflight SSO-A, SHERPA);Seoul National University;University;Academic / Education;South Korea;ISILaunch;Early-stage disaster monitoring and demonstrate in-house technologies.
Suomi 100 (Finland100);CubeSat;1U;Operational (Social media news on 2019-04-12. checked on 2019-05-26);2018-12-03;43804;QuadPack (XL) [ISISpace];Falcon 9 (Spaceflight SSO-A, SHERPA);Aalto University;University;Academic / Education;Finland;ISILaunch;Celebrate Finland's 100th independence with camera and low-frequency receiver to detect auroras.
VisionCube;CubeSat;2U;No signal (No confirmed reports on Twitter and SatNOGS. There seem to be 2 objects too many from this launch and maybe this was not onboard at all due to the complete lack of news while others are accounted for?);2018-12-03;43822?;QuadPack (XL) [ISISpace];Falcon 9 (Spaceflight SSO-A, SHERPA);Korea Aerospace University;University;Academic / Education;South Korea;ISILaunch;Obtain images of Transient Luminous Events in the upper atmosphere.
CeREs (Compact Radiation Belt Explorer);CubeSat;3U;"Was semi-operational until 2018-12-XX? (Indirect tweet from Jonathan McDowell
                        on 2019-03-04 and official presentation at Planetary CubeSats Symposum)";2018-12-16;43853?;RailPOD [Tyvak];Electron;NASA Goddard Space Flight Center;Space agency;Government (Civil / Military);US;TriSept;Study primary radiation belt energization, as well as loss electron spectra and microbursts.
CHOMPTT (CubeSat Handling of Multisystem Precision Time Transfer);CubeSat;3U;Operational (Official tweet on 2019-11-21 checked on 2020-01-01);2018-12-16;43855;RailPOD [Tyvak];Electron;University of Florida;University;Academic / Education;US;TriSept;Demonstrate low cost, precision time transfer between ground and satellite using a laser.
RSat-P (Repair CubeSat Prototype);CubeSat;3U;No signal (Tweet from Jonathan McDowell on 2019-03-04);2018-12-16;43854?;RailPOD [Tyvak];Electron;US Naval Academy Satellite Lab;University;Academic / Education;US;TriSept;Demonstrate the feasibility of using CubeSats to diagnose malfunctions and perform on orbit repairs on satellites.
LUME-1;CubeSat;2U;Operational (Social media news on 2018-12-27 and latest SatNOGS report 2019-05-26);2018-12-27;43908;QuadPack (XL) [ISISpace];Sojuz-2-1b;University of Vigo;University;Academic / Education;Spain;ISILaunch;Validate software defined radio for communications and spectrum monitoring capabilities.
NEXUS (Next Education X (cross) Unique Satellite, Fuji-OSCAR 99);CubeSat;1U;Operational (Official website and blog updated daily and last checked on 2019-12-31);2019-01-18;43937;E-SSOD (Epsilon Small Satellite Orbital Deployer) [JAXA];Epsilon;Nihon University;University;Academic / Education;Japan;JAXA, ?;Amateur radio communications plus camera.
Falcon ODE (AFOTEC-1, Falcon Orbital Debris Experiment, Air Force Operational Test and Evaluation Center, SFERES, Space Fence Evaluation of Radar EffectivenesS);CubeSat;1U;Operational? (No public news found, but likely operational);2019-05-03;44225;Maxwell [Rocket Lab];Electron;Air Force Academy;University;Academic / Education;US;Rocket Lab;Evaluate ground-based tracking of space objects and educational mission.
ATL-1 (Advanced Technology of Laser, Magyar-OSCAR 106, MO-106);PocketQube;PocketQube 2p;Operational (Many reports by SatNOGS and JA0CAW as of 2019-12-26);2019-12-06;44831;Albapod [Alba Orbital];Electron (Alba Cluster 2);ATL (Advanced Technology of Laser);Company;Commercial;Hungary;Alba Orbital;"Testing a new thermal isolation material in space. Thermal insulator material experiment & DVB-T band spectrum monitoring.
                    "
EyeSat (EYE-SAT, EYESAT-NANO);CubeSat;3U;Operational (Update via email in January 2020);2019-12-18;44877;ISIPOD [ISISpace];Sojuz (Arianespace);CNES;Space agency;Government (Civil / Military);France;ISILaunch;Astronomy mission to study the zodiacal light and imaging of the Milky Way.
MeznSat;CubeSat;3U;Operational (Official news on 2020-09-29);2020-09-28;?;EXOpod 12U/16U [Exolaunch ECM];Sojuz;Masdar Institute of Science and Technology;University;Academic / Education;United Arab Emirates;Exolaunch (ECM);Short-Wave Infra-Red (SWIR) spectrometer for CO2 and Methane measurements in the atmosphe.
